n,0.01,0.05,0.1,0.15,0.2
1,0.995,0.975,0.95,0.925,0.9
2,0.929,0.842,0.776,0.726,0.684
3,0.828,0.708,0.642,0.597,0.565
4,0.733,0.624,0.564,0.525,0.494
5,0.669,0.565,0.51,0.474,0.446
6,0.618,0.521,0.47,0.436,0.41
7,0.577,0.486,0.438,0.405,0.381
8,0.543,0.457,0.411,0.381,0.358
9,0.514,0.432,0.388,0.36,0.339
10,0.49,0.41,0.368,0.342,0.322
11,0.468,0.391,0.352,0.326,0.307
12,0.45,0.375,0.338,0.313,0.295
13,0.433,0.361,0.325,0.302,0.284
14,0.418,0.349,0.314,0.292,0.274
15,0.404,0.338,0.304,0.283,0.266
16,0.392,0.328,0.295,0.274,0.258
17,0.381,0.318,0.286,0.266,0.25
18,0.371,0.309,0.278,0.259,0.244
19,0.363,0.301,0.272,0.252,0.237
20,0.356,0.294,0.264,0.246,0.231
25,0.32,0.27,0.24,0.22,0.21
30,0.29,0.24,0.22,0.2,0.19
35,0.27,0.23,0.21,0.19,0.18
40,0.25,0.21,0.19,0.18,0.17
45,0.24,0.2,0.18,0.17,0.16
50,0.23,0.19,0.17,0.16,0.15
