jugador,x1,x2,x3,x4,x5,x6,x7
Ronaldinho,15,26,1.78,71,1,2,2
Etoo,21,25,1.8,75,0,3,2
Xavi,6,26,1.7,68,0,5,4
Messi,7,19,1.69,67,0,1,3
Puyol,1,28,1.78,78,0,5,3
Raul,7,29,1.8,73.5,1,5,3
Ronaldo,18,30,1.83,82,0,2,1
Beckham,4,31,1.8,67,0,9,3
Casillas,0,25,1.85,70,0,5,4
Cannavaro,0,33,1.76,75.5,0,4,2
Torres,24,22,1.83,70,0,5,4
Aguero,14,18,1.72,68,0,1,3
Maxi,10,25,1.8,79,0,1,3
Pablo,3,25,1.92,80,0,5,4
Maniche,3,29,1.73,69,0,8,2
Morientes,13,30,1.86,79,0,5,3
Joaquin,5,25,1.79,75,0,5,4
Villa,22,24,1.75,69,0,5,3
Ayala,1,33,1.77,75.5,0,1,1
Canizares,0,36,1.81,78,1,5,3
Jesus Nava,2,20,1.7,60,0,5,3
Puerta,6,21,1.83,74,1,5,3
Javi Navarro,7,32,1.82,75,0,5,3
Daniel Alves,2,23,1.71,64,0,2,2
Kanoute,12,29,1.92,82,1,6,1
Valeron,9,31,1.84,71,0,5,3
Arizmendi,8,22,1.92,78,0,5,3
Capdevila,3,28,1.81,79,1,5,4
Riki,7,26,1.86,80,0,5,3
Coloccini,2,24,1.82,78,1,1,2
Riquelme,10,28,1.82,75,0,1,2
Forlan,17,27,1.72,75,0,7,3
Cani ,4,25,1.75,69.5,0,5,3
Javi Venta,0,30,1.8,73,1,5,3
Tachinardi,4,31,1.87,80,1,4,4
Pandiani,6,30,1.84,74,0,7,1
Tamudo,10,28,1.77,74,0,5,3
De la Pena,2,30,1.69,69,0,5,3
Luis Garcia,8,25,1.8,68,0,5,3
Jonathan,4,21,1.8,72,1,5,3
Aimar,6,26,1.68,60,1,1,2
Diego Milito,9,27,1.81,78,0,1,2
Savio,3,32,1.71,68,1,2,2
Sergio Garcia,7,23,1.76,69,0,5,3
Zapater,5,21,1.73,70.5,0,5,3
Edu,6,27,1.82,74,1,2,3
Juanito,2,30,1.83,80,0,5,4
Melli,5,22,1.81,78,0,5,3
Capi,7,29,1.75,73,0,5,2
Doblas,0,25,1.84,78,0,5,3
