beneficios	pesos	volumenes	capacidades_peso	capacidades_volumen
88	11	6	22	32
48	6	13	25	23
18	10	13	21	32
30	11	3	26	20
68	6	4	27	17
15	14	3	21	26
49	12	11	26	28
58	13	7		 	 
82	9	3		 	 
97	8	9		 	 
65	9	11		 	 
77	5	8		 	 
29	6	11		 	 
72	10	6		 	 
54	3	3		 	 
24	9	5		 	 
49	13	8		 	 
58	10	11		 	 
47	2	5		 	 
16	14	8		 	 
52	6	13		 	 
31	13	13		 	 
54	13	2		 	 
16	9	8		 	 
42	6	4		 	 
37	3	5		 	 
49	6	3		 	 
86	4	2		 	 
97	12	5		 	 
16	10	12		 	 
72	2	11		 	 
59	12	11		 	 
44	11	1		 	 
40	9	5		 	 
56	10	14		 	 
94	7	7		 	 
46	6	14		 	 
96	8	11		 	 
37	4	2		 	 
23	6	7		 	 
42	12	10		 	 
41	3	7		 	 
22	11	4		 	 
38	10	6		 	 
41	14	9		 	 
91	13	6		 	 
21	7	8		 	 
75	7	11		 	 
60	9	3		 	 
53	11	2		 	 
55	4	11		 	 
92	7	8		 	 
35	8	5		 	 
95	6	9		 	 
20	12	12		 	 
13	6	4		 	 
92	5	10		 	 
85	13	5		 	 
28	13	11		 	 
41	5	14		 	 
95	12	11		 	 
70	8	11		 	 
18	3	4		 	 
63	11	9		 	 
97	3	4		 	 
37	14	14		 	 
22	6	5		 	 
39	13	4		 	 
47	8	3		 	 
47	14	10		 	 
62	8	1		 	 
25	8	4		 	 
62	12	2		 	 
24	11	1		 	 
29	13	8		 	 
75	13	11		 	 
28	14	13		 	 
59	7	7		 	 
27	13	2		 	 
91	2	6		 	 
48	12	8		 	 
46	4	7		 	 
98	11	11		 	 
56	5	14		 	 
87	12	1		 	 
74	7	9		 	 
32	11	2		 	 
46	3	6		 	 
12	14	7		 	 
65	9	1		 	 
70	12	2		 	 
33	14	8		 	 
22	7	2		 	 
27	7	6		 	 
79	5	3		 	 
43	13	5		 	 
35	3	13		 	 
97	5	14		 	 
93	11	2		 	 
61	14	8		 	 
77	3	6		 	 
21	6	12		 	 
27	6	12		 	 
26	3	10		 	 
41	6	6		 	 
23	13	1		 	 
41	6	3		 	 
58	10	2		 	 
14	5	7		 	 
34	3	10		 	 
40	2	3		 	 
64	13	7		 	 
20	11	10		 	 
43	4	4		 	 
14	3	12		 	 
54	9	8		 	 
34	9	8		 	 
74	2	8		 	 
31	5	2		 	 
21	13	13		 	 
33	3	2		 	 
66	14	10		 	 
23	8	5		 	 
53	8	3		 	 
48	2	12		 	 
36	2	14		 	 
34	13	14		 	 
54	14	11		 	 
70	6	5		 	 
61	7	10		 	 
11	2	1		 	 
87	5	9		 	 
95	13	12		 	 
30	7	9		 	 
51	6	10		 	 
48	11	4		 	 
39	3	3		 	 
29	6	3		 	 
98	6	3		 	 
53	13	14		 	 
75	11	1		 	 
75	2	7		 	 
30	13	6		 	 
73	12	1		 	 
55	4	3		 	 
42	7	11		 	 
85	6	12		 	 
73	3	7		 	 
43	5	1		 	 
89	12	8		 	 
