beneficios	pesos	volumenes	capacidades_peso	capacidades_volumen
27	2	13	29	31
44	8	8	32	23
69	9	9	49	30
62	13	2	36	21
41	10	10	29	35
70	8	13	32	21
24	8	12	22	35
52	11	13	27	31
29	14	8	29	25
36	7	1	31	20
45	14	5	41	32
60	9	6	20	25
65	5	12	22	38
32	4	2	45	37
81	12	2	40	28
88	5	11	30	26
84	10	9	21	23
72	8	1	33	39
37	2	11	26	32
31	6	8	24	28
91	3	3	37	30
25	2	13	44	36
19	12	6	33	31
67	9	7	22	35
22	6	7	36	26
73	3	9	29	27
35	12	2	22	36
57	6	11	24	37
29	13	6	40	35
92	10	13	36	25
15	4	10		 	 
63	4	7		 	 
49	2	12		 	 
66	14	8		 	 
28	11	8		 	 
28	11	3		 	 
62	7	11		 	 
85	11	5		 	 
64	10	14		 	 
30	5	10		 	 
33	4	5		 	 
83	7	8		 	 
61	11	7		 	 
11	8	14		 	 
77	3	1		 	 
64	5	11		 	 
12	10	1		 	 
67	11	9		 	 
98	13	11		 	 
85	13	14		 	 
23	4	1		 	 
53	6	12		 	 
54	6	4		 	 
91	4	8		 	 
50	8	12		 	 
23	7	1		 	 
51	9	3		 	 
71	14	14		 	 
14	7	13		 	 
99	5	9		 	 
57	14	4		 	 
22	6	4		 	 
55	8	2		 	 
61	5	10		 	 
74	6	4		 	 
45	10	4		 	 
49	5	7		 	 
71	8	12		 	 
78	10	6		 	 
71	11	13		 	 
39	4	6		 	 
77	5	9		 	 
78	6	5		 	 
11	14	12		 	 
64	3	1		 	 
66	4	4		 	 
41	5	8		 	 
28	7	11		 	 
93	9	10		 	 
24	6	8		 	 
73	11	1		 	 
75	2	10		 	 
47	3	14		 	 
95	7	8		 	 
13	8	13		 	 
77	3	4		 	 
87	6	5		 	 
62	9	4		 	 
33	2	10		 	 
35	12	10		 	 
84	5	3		 	 
97	10	14		 	 
44	4	10		 	 
99	5	4		 	 
55	3	10		 	 
99	3	14		 	 
65	7	6		 	 
64	2	12		 	 
41	13	11		 	 
20	7	3		 	 
