Periodo,Temperatura,Precipitacion
ene-85,15.6,36
feb-85,17.1,16.5
mar-85,19.9,15
abr-85,21,37.2
may-85,23.1,51.5
jun-85,23.3,126.9
jul-85,22.8,139.8
ago-85,23.1,118.8
sep-85,22.4,106.1
oct-85,21.1,65.5
nov-85,18.9,31.9
dic-85,16.9,25.4
ene-86,16.1,15.2
feb-86,17.9,14.9
mar-86,18.7,10.7
abr-86,22.2,26.3
may-86,23.1,57.4
jun-86,23.2,122.7
jul-86,22.8,115.8
ago-86,23.3,103.8
sep-86,22.6,125.2
oct-86,20.8,83
nov-86,19.4,36.8
dic-86,16.9,36.2
ene-87,15.8,20.1
feb-87,17.2,22
mar-87,18.6,16.8
abr-87,20.4,21.8
may-87,22.6,52.6
jun-87,23.7,101.4
jul-87,23.3,152.5
ago-87,23.4,113.8
sep-87,23.2,104.1
oct-87,20.7,32.1
nov-87,18.7,28.2
dic-87,17.6,23.8
ene-88,16.1,20.2
feb-88,17.9,13.2
mar-88,19.2,17.7
abr-88,21.6,21.7
may-88,23.3,24.8
jun-88,23.6,121.6
jul-88,23.3,162.4
ago-88,23,173.8
sep-88,22.3,123.8
oct-88,20.9,49.7
nov-88,19.2,17.9
dic-88,17,18.8
ene-89,17.3,22.5
feb-89,17.7,12.7
mar-89,19,9.7
abr-89,21.5,14
may-89,23.4,26.1
jun-89,24,85.7
jul-89,23.4,110
ago-89,22.9,158.9
sep-89,22.1,124.1
oct-89,20.6,52.4
nov-89,19.3,34.6
dic-89,16,41.1
ene-90,17.1,23.8
feb-90,17.6,25.8
mar-90,19.5,18.7
abr-90,21.7,14.9
may-90,23.6,44.7
jun-90,24.1,80.4
jul-90,22.9,201.7
ago-90,22.9,157.7
sep-90,22.3,153.9
oct-90,21.1,92.8
nov-90,19.1,30.8
dic-90,17.1,32.7
ene-91,17,17.9
feb-91,18,22.1
mar-91,20.4,10.7
abr-91,22.5,10.2
may-91,23.6,30.3
jun-91,23.8,99.9
jul-91,22.7,171.5
