Fecha,Inflacion,IGAE,IPC,TC
1980/01,0.051342222,,,0.0228
1980/02,0.052529117,,,0.0228
1980/03,0.053609811,,,0.0228
1980/04,0.054546983,,,0.0228
1980/05,0.055436799,,,0.0229
1980/06,0.056536148,,,0.0229
1980/07,0.058114848,,,0.023
1980/08,0.059318964,,,0.023
1980/09,0.059977717,,,0.023
1980/10,0.060886183,,,0.023
1980/11,0.061942482,,,0.0231
1980/12,0.063567108,,,0.0232
1981/01,0.065615114,,1.47,0.0233
1981/02,0.067226824,,1.4,0.0235
1981/03,0.068664872,,1.34,0.0236
1981/04,0.070213437,,1.32,0.0239
1981/05,0.07127547,,1.22,0.0241
1981/06,0.072271488,,1.14,0.0243
1981/07,0.073544494,,1.08,0.0245
1981/08,0.075060049,,1.03,0.0247
1981/09,0.076456481,,0.97,0.025
1981/10,0.078152868,,0.86,0.0253
1981/11,0.079656937,,0.9,0.0256
1981/12,0.081801099,,0.94,0.026
1982/01,0.085865536,,0.77,0.0264
1982/02,0.089239654,,0.78,0.0322
1982/03,0.09249895,,0.77,0.0455
1982/04,0.097512044,,0.61,0.0457
1982/05,0.102993008,,0.49,0.0465
1982/06,0.107954431,,0.56,0.0473
1982/07,0.113517202,,0.51,0.0482
1982/08,0.126255879,,0.54,0.0695
1982/09,0.1329955,,0.68,0.07
1982/10,0.139890117,,0.65,0.07
1982/11,0.146962697,,0.75,0.07
1982/12,0.162656416,,0.67,0.0805
1983/01,0.180355086,,0.79,0.0966
1983/02,0.190033959,,0.86,0.1024
1983/03,0.199232046,,0.83,0.1062
1983/04,0.211845861,,0.91,0.1102
1983/05,0.221033903,,1.09,0.1142
1983/06,0.229403889,,1.42,0.1181
1983/07,0.240746133,,1.59,0.1221
1983/08,0.250090607,,1.57,0.1261
1983/09,0.257787495,,2.01,0.1301
1983/10,0.266341179,,2,0.1341
1983/11,0.281983237,,2.03,0.138
1983/12,0.294047381,,2.45,0.142
1984/01,0.312727718,,3.37,0.146
1984/02,0.329232318,,4.03,0.1499
1984/03,0.343304281,,3.35,0.1538
1984/04,0.35815555,,2.88,0.1578
1984/05,0.370031686,,3.28,0.1617
1984/06,0.383423376,,3.17,0.1657
1984/07,0.395992706,,3.3,0.1697
1984/08,0.407248839,,3.88,0.1737
1984/09,0.419380438,,4.36,0.1777
1984/10,0.434033654,,3.99,0.1816
1984/11,0.448929413,,4.2,0.1856
1984/12,0.467995815,,4.03,0.19
1985/01,0.502711447,,3.71,0.1953
1985/02,0.523596222,,4.2,0.2003
1985/03,0.5438854,,4.39,0.2058
1985/04,0.560621062,,4.81,0.2122
1985/05,0.573902241,,4.59,0.2186
1985/06,0.588275593,,4.95,0.225
1985/07,0.608762824,,5.69,0.2418
1985/08,0.635376852,,6.74,0.2853
1985/09,0.660752314,,7.28,0.2972
1985/10,0.685852223,,9.6,0.312
1985/11,0.717495125,,10.83,0.3289
1985/12,0.766340131,,11.19,0.3549
1986/01,0.834092231,,14.2,0.3858
1986/02,0.871174477,,14.1,0.418
1986/03,0.911666717,,13.3,0.4565
1986/04,0.959263111,,12.8,0.4873
1986/05,1.012570099,,14.7,0.5175
1986/06,1.077566644,,15.9,0.5537
1986/07,1.131332893,,19.3,0.5989
1986/08,1.221531243,,22.3,0.6608
1986/09,1.294811669,,28.6,0.7202
1986/10,1.368824029,,35.2,0.7761
1986/11,1.461304324,,41.7,0.8306
1986/12,1.576734626,,47.1,0.8898
1987/01,1.704401293,,60.28,0.9508
1987/02,1.82738639,,79.82,1.017
1987/03,1.948152699,,98.52,1.0877
1987/04,2.11860646,,122.3,1.1569
1987/05,2.278325059,,143.31,1.2306
1987/06,2.443145733,,161.67,1.3113
1987/07,2.641021527,,226.99,1.3844
1987/08,2.856871549,,287.4,1.4542
1987/09,3.045081395,,343.54,1.5291
1987/10,3.298844634,,200.02,1.6053
1987/11,3.560511423,,113.63,1.6979
1987/12,4.086392459,,105.67,2.0074
1988/01,4.718245936,,139.62,2.2124
1988/02,5.11178304,,200.59,2.2479
1988/03,5.373547426,,174.4,2.2809
1988/04,5.538940737,,154.16,2.281
1988/05,5.646108688,,188.07,2.281
1988/06,5.761292137,,186.57,2.281
1988/07,5.857456543,,188.08,2.281
1988/08,5.911343343,,196.52,2.281
1988/09,5.945139022,,197.87,2.281
1988/10,5.990486483,,197.82,2.281
1988/11,6.070654347,,229.58,2.281
1988/12,6.197316386,,211.53,2.281
1989/01,6.349023793,,210.21,2.2954
1989/02,6.435183543,,208.31,2.3249
1989/03,6.504944899,,232.02,2.3547
1989/04,6.602224445,,261.73,2.3851
1989/05,6.693098769,,302.94,2.4155
1989/06,6.774384637,,348.49,2.4459
1989/07,6.842148218,,354.25,2.4765
1989/08,6.907332776,,399.66,2.5074
1989/09,6.973392795,,427.67,2.538
1989/10,7.076525015,,400.36,2.5685
1989/11,7.175855437,,384.75,2.5991
1989/12,7.418029579,,418.93,2.6298
1990/01,7.776037302,,444.75,2.6604
1990/02,7.952119854,,473.02,2.69
1990/03,8.09230992,,489.62,2.7195
1990/04,8.215471549,,525.61,2.7502
1990/05,8.358837676,,650.29,2.7804
1990/06,8.542938589,,615.33,2.8074
1990/07,8.698734834,,673.14,2.8317
1990/08,8.846950442,,580.98,2.8565
1990/09,8.973061369,,522.08,2.881
1990/10,9.102059888,,611.38,2.9054
1990/11,9.343723103,,626.71,2.9278
1990/12,9.638213954,,628.79,2.9409
1991/01,9.883879895,,622.99,2.9532
1991/02,10.05642472,,659.17,2.965
1991/03,10.19983964,,803.35,2.9769
1991/04,10.30668755,,901.14,2.989
1991/05,10.40744167,,1096.17,3.0012
1991/06,10.51664758,,1058.02,3.0134
1991/07,10.60958427,,1193.65,3.0256
1991/08,10.68342298,,1254.6,3.038
1991/09,10.78985037,,1257.27,3.0502
1991/10,10.91534274,,1371.01,3.0624
1991/11,11.1863741,,1384.18,3.0698
1991/12,11.44967987,,1431.46,3.07
1992/01,11.65777847,,1623.47,3.0685
1992/02,11.79590044,,1860.63,3.0636
1992/03,11.91594772,,1875.73,3.0664
1992/04,12.02217132,,1838.3,3.068
1992/05,12.10143789,,1892.33,3.098
1992/06,12.18334519,,1599.26,3.1185
1992/07,12.26027241,,1569.73,3.1165
